GEOID10,POP_2010,POP_WHITE,POP_BLACK,POP_NATV,POP_ASN,POP_ISLND,POP_OTHER,POP_MULTI,NOT_HISP,NH_WHITE,NH_BLACK,NH_NATV,NH_ASN,NH_ISLND,NH_OTHER,NH_MULTI,HISP,H_WHITE,H_BLACK,H_NATV,H_ASN,H_ISLND,H_OTHER,H_MULTI
250173261011,956,906,8,0,20,0,5,17,937,892,8,0,20,0,0,17,19,14,0,0,0,0,5,0
250173261012,2940,2777,13,2,86,1,13,48,2890,2744,13,2,86,1,4,40,50,33,0,0,0,0,9,8
250173261021,2478,2348,15,0,69,0,7,39,2442,2326,14,0,68,0,0,34,36,22,1,0,1,0,7,5
250173261022,2674,2535,7,5,84,0,11,32,2612,2481,7,5,84,0,4,31,62,54,0,0,0,0,7,1
250173261023,1598,1545,3,0,35,0,0,15,1572,1521,3,0,35,0,0,13,26,24,0,0,0,0,0,2
250173271011,1800,1733,9,8,21,0,6,23,1776,1718,9,5,20,0,2,22,24,15,0,3,1,0,4,1
250173271012,1786,1742,4,0,15,0,1,24,1762,1722,4,0,15,0,0,21,24,20,0,0,0,0,1,3
250173271021,1087,1027,17,4,13,0,1,25,1056,1005,15,4,13,0,0,19,31,22,2,0,0,0,1,6
250173271022,1522,1485,4,1,18,0,4,10,1506,1471,4,0,18,0,4,9,16,14,0,1,0,0,0,1
250173271023,1724,1620,25,3,33,1,17,25,1682,1597,17,3,33,0,9,23,42,23,8,0,0,1,8,2
250173271031,1589,1542,0,0,13,0,6,28,1558,1522,0,0,13,0,0,23,31,20,0,0,0,0,6,5
250173271032,780,760,1,1,5,0,2,11,771,751,1,1,5,0,2,11,9,9,0,0,0,0,0,0
250173271033,1209,1173,0,3,16,1,4,12,1192,1160,0,1,16,0,3,12,17,13,0,2,0,1,1,0
250173281001,1992,1891,3,1,74,4,0,19,1960,1860,3,1,73,4,0,19,32,31,0,0,1,0,0,0
250173281002,1187,1140,4,2,24,0,0,17,1175,1133,3,2,24,0,0,13,12,7,1,0,0,0,0,4
250173301001,1045,1011,3,0,20,0,1,10,1025,995,3,0,20,0,0,7,20,16,0,0,0,0,1,3
250173301002,2140,2051,10,3,49,0,11,16,2106,2024,10,3,49,0,5,15,34,27,0,0,0,0,6,1
250173301003,1437,1385,4,6,25,0,0,17,1412,1367,4,0,25,0,0,16,25,18,0,6,0,0,0,1
250173301004,1567,1504,4,0,41,0,3,15,1538,1478,4,0,41,0,0,15,29,26,0,0,0,0,3,0
250173301005,2042,1989,5,1,33,0,2,12,2029,1977,5,1,33,0,2,11,13,12,0,0,0,0,0,1
250173302001,2628,2493,15,3,66,0,16,35,2584,2460,15,2,66,0,7,34,44,33,0,1,0,0,9,1
250173302002,1789,1676,13,2,57,0,10,31,1769,1660,13,2,57,0,6,31,20,16,0,0,0,0,4,0
250173302003,1068,1000,15,4,37,0,6,6,1056,992,15,4,37,0,3,5,12,8,0,0,0,0,3,1
250173302004,1176,1065,15,4,69,0,4,19,1142,1038,15,4,69,0,1,15,34,27,0,0,0,0,3,4
250173311011,1309,1235,4,0,45,0,5,20,1289,1222,4,0,45,0,0,18,20,13,0,0,0,0,5,2
250173311012,1702,1507,32,2,116,8,11,26,1665,1482,31,2,116,8,1,25,37,25,1,0,0,0,10,1
250173311021,1296,1239,5,1,31,0,3,17,1278,1228,4,1,31,0,0,14,18,11,1,0,0,0,3,3
250173311022,1949,1836,17,1,44,0,12,39,1903,1813,17,1,44,0,2,26,46,23,0,0,0,0,10,13
250173311023,2267,2166,16,6,52,0,5,22,2229,2140,10,6,52,0,2,19,38,26,6,0,0,0,3,3
250173311024,1459,1359,11,1,77,0,0,11,1432,1335,9,1,77,0,0,10,27,24,2,0,0,0,0,1
250173312001,2367,2234,20,2,86,0,10,15,2337,2211,18,1,86,0,6,15,30,23,2,1,0,0,4,0
250173312002,2979,2755,25,0,118,5,24,52,2934,2728,25,0,118,4,11,48,45,27,0,0,0,1,13,4
250173313001,2385,2179,13,3,121,0,16,53,2328,2141,13,2,121,0,4,47,57,38,0,1,0,0,12,6
250173313002,2541,2404,17,1,78,0,13,28,2494,2372,17,1,78,0,3,23,47,32,0,0,0,0,10,5
250173313003,2071,1955,14,1,63,0,18,20,2033,1928,14,0,63,0,10,18,38,27,0,1,0,0,8,2
250173321001,1276,1096,18,0,141,0,0,21,1256,1076,18,0,141,0,0,21,20,20,0,0,0,0,0,0
